,package,version
744,mpi4py,3.1.3
745,mpmath,1.2.1
746,msal,1.18.0b1
747,msal-extensions,1.0.0
748,msgpack,1.0.4rc1
749,msgpack-python,0.5.6
750,msrest,0.7.1
751,msrestazure,0.6.4
752,multi-key-dict,2.0.3
753,multidict,6.0.2
754,multipledispatch,0.6.0
755,multiprocess,0.70.13
756,munch,2.5.1.dev12
757,murmurhash,1.1.0.dev0
758,mutagen,1.45.1
759,mypy,0.971
760,mypy-boto3,1.24.43
761,mypy-extensions,0.4.3
762,mysql-connector-python,8.0.30
763,mysqlclient,2.1.1
764,myst-nb,0.16.0
765,myst-parser,0.18.0
766,napari,0.4.16rc7
767,natsort,8.1.0
768,nbclassic,0.4.3
769,nbclient,0.6.6
770,nbconvert,7.0.0rc3
771,nbformat,5.4.0
772,nbsphinx,0.8.9
773,nbstripout,0.6.0
774,nbval,0.9.6
775,ndg-httpsclient,0.5.1
776,nest-asyncio,1.5.5
777,netaddr,0.8.0
778,netcdf4,1.6.0
779,netifaces,0.11.0
780,networkx,2.8.5
781,nibabel,4.0.1
782,nltk,3.7
783,nodeenv,1.7.0
784,nonebot-adapter-onebot,2.1.1
785,nonebot2,2.0.0a16
786,nose,1.3.7
787,nose2,0.12.0
788,notebook,7.0.0a5
789,nox,2022.1.7
790,ntlm-auth,1.5.0
791,numba,0.56.0rc1
792,numexpr,2.8.3
793,numpy,1.23.1
794,numpydoc,1.4.0rc1
795,oauth2client,4.1.3
796,oauthlib,3.2.0
797,omegaconf,2.2.2
798,onnx,1.12.0
799,onnxruntime,1.12.0
800,opencensus,0.10.0
801,opencensus-context,0.2.dev0
802,opencensus-ext-azure,1.1.5
803,opencv-contrib-python,4.6.0.66
804,opencv-python,4.6.0.66
805,opencv-python-headless,4.6.0.66
806,openpyxl,3.2.0b1
807,opensearch-py,2.0.0
808,opentelemetry-api,1.12.0rc2
809,opentelemetry-sdk,1.12.0rc2
810,opentracing,2.4.0
811,opt-einsum,3.3.0
812,optuna,3.0.0a2
813,ordered-set,4.1.0
814,ordereddict,1.1
815,orjson,3.7.11
816,oscrypto,1.3.0
817,oslo.concurrency,4.5.1
818,oslo.config,9.0.0
819,oslo.i18n,5.1.0
820,oslo.log,5.0.0
821,oslo.serialization,5.0.0
822,oslo.utils,6.0.0
823,osqp,0.6.2.post5
824,oss2,2.16.0
825,outcome,1.2.0
826,overrides,6.1.0
827,packaging,21.3
828,paho-mqtt,1.6.1
829,pamela,1.0.0
830,pandas,1.4.3
831,pandas-gbq,0.17.7
832,pandasql,0.7.3
833,pandoc,2.2
834,pandocfilters,1.5.0
835,papermill,2.3.4
836,parameterized,0.8.1
837,paramiko,2.11.0
838,parse,1.19.0
839,parsedatetime,2.6
840,parsel,1.6.0
841,parsimonious,0.9.0
842,parso,0.8.3
843,partd,1.2.0
844,passlib,1.7.4
845,Paste,3.5.1
846,pastel,0.2.1
847,path.py,12.5.0
848,pathlib,1.0.1
849,pathlib2,2.3.7.post1
850,pathos,0.2.9
851,pathspec,0.9.0
852,pathtools,0.1.2
853,pathy,0.6.2
854,patsy,0.5.2
855,pbr,5.9.0
856,pdfminer-six,20220524
857,pdfminer.six,20220524
858,peewee,3.15.1
859,pefile,2022.5.30
860,pelican,4.8.0
861,pendulum,2.1.2
862,pep517,0.13.0
863,pep8,1.7.1
864,pep8-naming,0.13.1
865,peppercorn,0.6
866,pexpect,4.8.0
867,pg8000,1.29.1
868,phonenumbers,8.12.52
869,pickleshare,0.7.5
870,pika,1.3.0rc5
871,pillow,9.2.0
872,Pint,0.19.2
873,pip,22.2.1
874,pip-tools,6.8.0
875,pipenv,2022.7.24
876,pkginfo,1.8.3
877,plac,1.3.5
878,platformdirs,2.5.2
879,plone.api,2.0.0a4
880,plone.app.testing,7.0.0a3
881,plotly,5.9.0
882,pluggy,1.0.0.dev0
883,plumbum,1.7.2
884,ply,3.11
885,poetry,1.2.0a2
886,poetry-core,1.1.0a7
887,portalocker,2.5.1
888,portend,3.1.0
889,pox,0.3.1
890,ppft,1.7.6.5
891,praw,7.6.0
892,pre-commit,2.20.0
893,preshed,3.0.6
894,prettytable,3.3.0
895,prison,0.2.1
896,products.cmfcore,2.6.0
897,products.cmfplone,6.0.0a6
898,products.genericsetup,2.2.0
899,proglog,0.1.10
900,progress,1.6
901,progressbar,2.5
902,progressbar2,4.0.0
903,prometheus-client,0.14.1
904,prometheus-flask-exporter,0.20.2
905,promise,2.3
906,prompt-toolkit,3.0.30
907,prospector,1.8.0rc1
908,proto-plus,1.21.0b1
909,protobuf,4.21.4
910,protobuf3-to-dict,0.1.5
911,psd-tools,1.9.21
912,psutil,5.9.1
913,psycopg2,2.9.3
914,psycopg2-binary,2.9.3
915,ptyprocess,0.7.0
916,public,2020.12.3
917,publication,0.0.3
918,pulp,2.6.0
919,pure-eval,0.2.2
920,py,1.11.0
921,py-cpuinfo,8.0.0
922,py4j,0.10.9.5
923,pyaes,1.6.1
924,pyaml,21.10.1
925,pyarrow,8.0.0
926,pyasn1,0.4.8
927,pyasn1-modules,0.2.8
928,pyathena,2.13.0
929,pyaudio,0.2.12
930,pyautogui,0.9.53
931,pybind11,2.10.0
932,pycairo,1.21.0
933,pycocotools,2.0.4
934,pycodestyle,2.9.0
935,pycountry,22.3.5
936,pycparser,2.21
937,pycrypto,2.6.1
938,pycryptodome,3.15.0
939,pycryptodomex,3.15.0
940,pycurl,7.45.1
941,pydantic,1.9.1
942,pydash,5.1.0
943,pydata-google-auth,1.4.0
